log_inst_size,time,fast_cex_time,impl_time,check_valid_time,eq_time,make_vc_time,check_sliceable_time,eq_num_z3_calls,model_search_time,model_holes_time,model_cond_time,search_wp_time,model_z3_time,model_z3_calls,num_backtracks
0,81.365108,7.178545,57.855844,65.787554,57.520390,0.014782,0.000238,2,8.109808,0.006914,0.000000,0.023603,7.525444,1,0
1,69.843531,0.000000,69.834232,69.612980,65.694571,0.029087,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
2,67.559481,0.000000,67.547083,67.108393,62.857389,0.011921,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
3,68.766117,0.000000,68.735361,68.573713,64.168930,0.012159,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
4,68.422556,0.000000,68.410397,68.221331,63.827038,0.011683,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
5,76.480865,0.000000,76.450586,76.288939,72.085381,0.012636,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
6,69.382191,0.000000,69.350243,69.164991,65.166950,0.032425,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
7,68.740368,0.000000,68.729401,68.581104,64.629316,0.012159,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
8,69.224596,0.000000,69.211721,69.096327,64.914465,0.011921,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
9,68.342209,0.000000,68.331242,68.128824,64.093351,0.011921,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
10,53.587437,0.000000,53.555489,53.395510,48.955441,0.012875,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
11,0.303745,0.000000,0.292778,0.077963,0.077724,0.012159,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
12,0.209093,0.000000,0.203848,0.023127,0.022650,0.005960,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
13,0.186443,0.000000,0.181675,0.021935,0.021935,0.006199,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
14,0.221729,0.000000,0.217199,0.021935,0.021696,0.005960,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
15,0.185251,0.000000,0.180244,0.021696,0.021696,0.005960,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
16,0.186920,0.000000,0.182629,0.021458,0.021458,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
17,0.250578,0.000000,0.246048,0.022411,0.022411,0.005960,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
18,0.157356,0.000000,0.152349,0.022650,0.022650,0.006437,0.000238,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
19,0.144482,0.000000,0.140190,0.036001,0.035524,0.006437,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
20,0.163317,0.000000,0.158787,0.022411,0.021935,0.024796,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
21,0.141144,0.000000,0.136852,0.021219,0.021219,0.020027,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
22,0.125647,0.000000,0.121117,0.021458,0.021458,0.006199,0.000000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0,0
