hdr.ethernet_valid,hdr.ethernet_valid,1
hdr.ethernet.dst_addr,hdr.ethernet.dst_addr,48
hdr.ethernet.src_addr,hdr.ethernet.src_addr,48
hdr.ethernet.ether_type,hdr.eth_type.value,16
hdr.ipv4_valid,hdr.ipv4_valid,1
hdr.ipv4.version,hdr.ipv4.version,4
hdr.ipv4.ihl,hdr.ipv4.ihl,4
hdr.ipv4.dscp,hdr.ipv4.dscp,6
hdr.ipv4.ecn,hdr.ipv4.ecn,2
hdr.ipv4.total_len,hdr.ipv4.total_len,16
hdr.ipv4.identification,hdr.ipv4.identification,16
hdr.ipv4.flags,hdr.ipv4.flags,3
hdr.ipv4.frag_offset,hdr.ipv4.frag_offset,13
hdr.ipv4.ttl,hdr.ipv4.ttl,8
hdr.ipv4.proto,hdr.ipv4.protocol,8
hdr.ipv4.checksum,hdr.ipv4.hdr_checksum,16
hdr.ipv4.src_addr,hdr.ipv4.src_addr,32
hdr.ipv4.dst_addr,hdr.ipv4.dst_addr,32
hdr.outer_ipv4_valid,hdr.gtpu_ipv4_valid,1
hdr.outer_ipv4.version,hdr.gtpu_ipv4.version,4
hdr.outer_ipv4.ihl,hdr.gtpu_ipv4.ihl,4
hdr.outer_ipv4.dscp,hdr.gtpu_ipv4.dscp,6
hdr.outer_ipv4.ecn,hdr.gtpu_ipv4.ecn,2
hdr.outer_ipv4.total_len,hdr.gtpu_ipv4.total_len,16
hdr.outer_ipv4.identification,hdr.gtpu_ipv4.identification,16
hdr.outer_ipv4.flags,hdr.gtpu_ipv4.flags,3
hdr.outer_ipv4.frag_offset,hdr.gtpu_ipv4.frag_offset,13
hdr.outer_ipv4.ttl,hdr.gtpu_ipv4.ttl,8
hdr.outer_ipv4.proto,hdr.gtpu_ipv4.protocol,8
hdr.outer_ipv4.checksum,hdr.gtpu_ipv4.hdr_checksum,16
hdr.outer_ipv4.src_addr,hdr.gtpu_ipv4.src_addr,32
hdr.outer_ipv4.dst_addr,hdr.gtpu_ipv4.dst_addr,32
hdr.inner_ipv4_valid,hdr.inner_ipv4_valid,1
hdr.inner_ipv4.version,hdr.inner_ipv4.version,4
hdr.inner_ipv4.ihl,hdr.inner_ipv4.ihl,4
hdr.inner_ipv4.dscp,hdr.inner_ipv4.dscp,6
hdr.inner_ipv4.ecn,hdr.inner_ipv4.ecn,2
hdr.inner_ipv4.total_len,hdr.inner_ipv4.total_len,16
hdr.inner_ipv4.identification,hdr.inner_ipv4.identification,16
hdr.inner_ipv4.flags,hdr.inner_ipv4.flags,3
hdr.inner_ipv4.frag_offset,hdr.inner_ipv4.frag_offset,13
hdr.inner_ipv4.ttl,hdr.inner_ipv4.ttl,8
hdr.inner_ipv4.proto,hdr.inner_ipv4.protocol,8
hdr.inner_ipv4.checksum,hdr.inner_ipv4.hdr_checksum,16
hdr.inner_ipv4.src_addr,hdr.inner_ipv4.src_addr,32
hdr.inner_ipv4.dst_addr,hdr.inner_ipv4.dst_addr,32
hdr.gtpu_valid,hdr.gtpu_valid,1
hdr.gtpu.version,hdr.gtpu.version,3
hdr.gtpu.pt,hdr.gtpu.pt,1
hdr.gtpu.spare,hdr.gtpu.spare,1
hdr.gtpu.ex_flag,hdr.gtpu.ex_flag,1
hdr.gtpu.seq_flag,hdr.gtpu.seq_flag,1
hdr.gtpu.npdu_flag,hdr.gtpu.npdu_flag,1
hdr.gtpu.msgtype,hdr.gtpu.msgtype,8
hdr.gtpu.msglen,hdr.gtpu.msglen,16
hdr.gtpu.teid,hdr.gtpu.teid,32
hdr.udp_valid,hdr.udp_valid,1
hdr.udp.sport,hdr.udp.sport,16
hdr.udp.dport,hdr.udp.dport,16
hdr.udp.len,hdr.udp.len,16
hdr.udp.checksum,hdr.udp.checksum,16
std_meta.egress_spec,standard_metadata.egress_spec,9
std_meta.egress_port,standard_metadata.egress_port,9
std_meta.ingress_port,standard_metadata.ingress_port,9
